DATE,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,YEAR,Month,Season
1973-01-01,54.1,24,44.3,24,1016.3,24,15.3,24,9.3,24,11.0,24,16.9,22.0,57.2,*,50.0,*,0.08,G,,110000,1973,1,Winter
1973-01-02,40.8,24,22.5,24,1020.5,24,19.5,24,14.9,24,13.4,24,22.9,28.0,48.9,*,33.8,*,0.0,G,,0,1973,1,Winter
1973-01-03,32.4,23,17.6,23,1032.2,23,31.2,23,12.9,23,8.5,23,16.9,,35.6,*,30.0,*,1.38,G,,0,1973,1,Winter
1973-01-04,40.6,23,35.0,23,1017.8,23,16.8,23,5.9,23,9.7,22,20.0,30.9,48.2,*,33.8,*,0.51,G,,111000,1973,1,Winter
1973-01-05,40.5,23,28.4,23,1012.4,23,11.4,23,13.4,23,12.5,23,15.9,22.9,45.0,*,37.4,*,1.65,G,,0,1973,1,Winter
1973-01-06,28.3,24,11.4,24,1015.6,24,14.6,24,14.9,24,16.7,24,22.9,31.9,36.0,*,21.2,*,0.0,G,,0,1973,1,Winter
1973-01-07,18.3,24,1.2,24,1024.7,24,23.6,24,14.9,24,19.2,24,22.9,33.0,21.2,*,15.8,*,0.0,I,,0,1973,1,Winter
1973-01-08,14.6,24,-2.3,24,1029.9,24,28.8,24,14.8,24,12.1,24,17.9,28.0,19.0,*,10.4,*,0.0,A,,0,1973,1,Winter
1973-01-09,16.2,23,-1.6,23,1024.6,23,23.5,23,14.9,23,9.5,23,15.0,,25.0,*,10.4,*,0.0,A,,0,1973,1,Winter
1973-01-10,23.6,23,5.5,23,1021.8,23,20.8,23,14.3,23,13.7,23,17.9,18.8,28.4,*,19.4,*,1.06,G,,0,1973,1,Winter
1973-01-11,26.4,21,2.2,20,1016.6,21,15.6,21,13.8,21,12.7,20,18.8,22.0,32.0,*,21.0,*,1.14,G,,0,1973,1,Winter
1973-01-12,25.5,24,4.7,24,1018.2,24,17.2,24,14.9,24,12.7,24,17.9,,31.1,*,19.9,*,0.0,G,,0,1973,1,Winter
1973-01-13,28.0,24,9.9,24,1028.3,24,27.3,24,12.7,24,7.9,24,14.0,,32.9,*,24.1,*,0.0,I,,0,1973,1,Winter
1973-01-14,30.8,24,14.5,24,1023.4,24,22.4,23,9.7,24,8.7,24,15.0,,37.9,*,25.2,*,0.0,I,,0,1973,1,Winter
1973-01-15,37.8,24,21.8,24,1014.2,24,13.2,24,8.2,24,7.2,24,11.8,,43.9,*,33.1,*,0.0,I,,0,1973,1,Winter
1973-01-16,41.8,23,24.8,23,1021.7,23,20.7,23,11.9,23,10.9,22,16.9,,48.9,*,37.9,*,0.0,I,,0,1973,1,Winter
1973-01-17,47.7,24,25.1,24,1021.2,24,20.2,24,10.8,24,12.9,24,18.1,,59.0,*,41.0,*,0.0,I,,0,1973,1,Winter
1973-01-18,51.0,24,29.6,24,1022.5,24,21.5,24,6.3,24,6.7,24,14.0,,63.0,*,43.0,*,0.0,I,,0,1973,1,Winter
1973-01-19,47.2,24,39.6,24,1012.7,24,11.7,24,5.3,24,8.0,24,16.9,,63.9, ,41.0, ,, ,,10000,1973,1,Winter
1973-01-20,43.8,24,32.2,24,1000.6,24,999.6,24,12.0,24,17.0,24,24.9,37.9,53.1,*,32.9,*,0.24,G,,110000,1973,1,Winter
1973-01-21,31.1,23,8.3,23,1020.2,23,19.2,23,14.9,23,11.6,23,18.8,19.8,39.9,*,26.1,*,2.05,G,,0,1973,1,Winter
1973-01-22,40.6,24,31.1,24,1021.6,24,20.6,24,10.0,24,9.7,24,24.9,34.0,55.9,*,34.0,*,0.0,G,,110000,1973,1,Winter
