"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72503014732","1983-01-01","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  38.9","24","  24.2","24","1022.9","24","021.9","24"," 12.2","24","  9.3","24"," 15.9","999.9","  45.0","*","  32.0"," "," 0.02","G","999.9","110000"
"72503014732","1983-01-02","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  40.7","24","  21.9","24","1020.1","24","019.1","24"," 13.0","24"," 10.6","24"," 17.1","999.9","  45.0"," ","  36.0"," "," 0.00","G","999.9","000000"
"72503014732","1983-01-03","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  37.1","24","  19.7","24","1018.1","24","017.0","24"," 14.7","24"," 12.5","24"," 17.1"," 22.0","  43.0"," ","  33.1"," "," 0.00","G","999.9","000000"
"72503014732","1983-01-04","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  29.3","24","  12.0","24","1032.8","24","031.8","24"," 19.9","24"," 11.6","24"," 15.0","999.9","  39.0"," ","  25.0"," "," 0.00","D","999.9","000000"
"72503014732","1983-01-05","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  34.2","24","  26.4","24","1032.6","24","031.5","24"," 10.5","24","  7.6","24"," 12.8","999.9","  42.1","*","  25.0"," "," 0.00","G","999.9","111000"
"72503014732","1983-01-06","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  41.1","24","  34.7","24","1016.0","24","015.0","24","  7.9","24"," 12.3","24"," 18.1"," 23.9","  45.0","*","  30.0"," "," 0.82","G","999.9","110000"
"72503014732","1983-01-07","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  41.5","24","  31.0","24","1012.3","24","011.3","24"," 10.4","24"," 10.3","24"," 18.1"," 21.0","  48.9","*","  36.0"," "," 0.02","G","999.9","000000"
"72503014732","1983-01-08","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  41.6","24","  23.5","24","1017.6","24","016.5","24"," 14.3","24"," 13.7","24"," 18.1"," 26.8","  48.9"," ","  32.0"," "," 0.00","G","999.9","000000"
"72503014732","1983-01-09","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  34.1","24","  20.0","24","1030.2","24","029.2","24"," 14.9","24"," 11.7","24"," 18.1","999.9","  44.1"," ","  30.0"," "," 0.00","G","999.9","000000"
"72503014732","1983-01-10","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  36.8","24","  30.7","24","1028.6","24","027.6","24","  9.9","24"," 16.9","24"," 21.0"," 23.9","  43.0","*","  30.0"," "," 0.02","G","999.9","011000"
"72503014732","1983-01-11","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  52.4","24","  46.1","24","1004.1","24","003.1","24","  7.7","24"," 15.5","24"," 20.0","999.9","  57.0"," ","  34.0"," "," 0.64","G","999.9","110000"
"72503014732","1983-01-12","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  42.0","24","  28.8","24","1005.7","24","004.7","24"," 14.2","24"," 12.8","24"," 20.0"," 23.9","  57.0"," ","  37.0","*"," 0.28","G","999.9","000000"
"72503014732","1983-01-13","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  27.4","24","  11.3","24","1016.0","24","015.0","24"," 15.9","24"," 16.1","24"," 21.0","999.9","  44.1"," ","  23.0","*"," 0.00","G","999.9","000000"
"72503014732","1983-01-14","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  28.8","24","   8.9","24","1024.0","24","023.0","24"," 12.8","24","  8.6","24"," 14.0","999.9","  35.1","*","  23.0"," "," 0.00","G","999.9","000000"
"72503014732","1983-01-15","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  34.5","24","  26.8","24","1011.3","24","010.3","24","  7.2","24"," 14.9","24"," 27.0"," 39.8","  36.0"," ","  25.0"," "," 0.25","G","999.9","111000"
"72503014732","1983-01-16","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  32.5","24","  25.3","24"," 999.2","24","998.1","24","  9.7","24"," 16.6","24"," 22.9"," 31.9","  36.0"," ","  30.0"," "," 0.20","G","  2.0","011000"
"72503014732","1983-01-17","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  27.1","24","  11.3","24","1006.7","24","005.7","24"," 15.6","24"," 14.7","24"," 18.1"," 26.8","  34.0"," ","  23.0"," "," 0.01","G","999.9","000000"
"72503014732","1983-01-18","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  22.3","24","   6.8","24","1013.0","24","012.0","24"," 17.0","24"," 15.5","24"," 22.0","999.9","  30.0"," ","  19.0"," "," 0.00","G","999.9","000000"
"72503014732","1983-01-19","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","  15.3","24","   0.7","24","1021.0","24","020.0","24"," 18.4","24"," 18.9","24"," 24.9"," 34.0","  23.7"," ","  12.0"," "," 0.00","G","999.9","000000"
