DATE,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,YEAR,Month,Season,HUMID
2010-01-01,35.1,24,31.5,24,1013.0,21,12.7,24,6.2,24,2.8,24,8.0,,39.0, ,30.2, ,0.23,G,1.2,11000,2010,1,Winter,85.0
2010-01-02,29.2,24,20.5,24,1005.4,24,4.4,24,9.1,24,16.8,24,26.0,35.0,39.0, ,19.9, ,0.01,G,,11000,2010,1,Winter,66.0
2010-01-03,19.7,24,8.2,24,1001.1,22,999.9,24,8.9,24,22.5,24,28.0,36.9,32.0, ,17.1, ,0.0,G,,1000,2010,1,Winter,60.0
2010-01-04,24.2,24,11.6,24,1004.7,24,3.7,24,10.0,24,17.5,24,22.9,33.0,30.9, ,18.0, ,0.0,G,,0,2010,1,Winter,58.0
2010-01-05,25.4,24,12.8,24,1006.7,24,5.6,24,10.0,24,14.3,24,19.0,25.1,30.9, ,21.0, ,0.0,G,,0,2010,1,Winter,58.0
2010-01-06,29.2,24,15.5,24,1005.9,24,4.9,24,10.0,24,15.4,24,19.0,24.1,34.0, ,21.9, ,0.0,G,,0,2010,1,Winter,58.0
2010-01-07,32.7,24,21.2,24,1010.3,23,9.2,24,10.0,24,14.1,24,20.0,26.0,37.9, ,27.0, ,0.0,G,,0,2010,1,Winter,63.0
2010-01-08,32.3,24,23.4,24,1008.3,21,7.0,24,8.3,24,8.7,24,24.1,28.0,37.9, ,28.0, ,0.0,G,,1000,2010,1,Winter,69.0
2010-01-09,25.2,24,9.7,24,1015.2,24,14.2,24,10.0,24,13.7,24,18.1,27.0,34.0, ,21.0, ,0.03,G,,0,2010,1,Winter,49.0
2010-01-10,21.7,24,2.6,24,1023.1,24,22.1,24,10.0,24,10.7,24,14.0,18.1,30.9, ,15.1, ,0.0,G,,0,2010,1,Winter,44.0
2010-01-11,26.8,24,8.6,24,1021.2,24,20.2,24,10.0,24,8.3,24,12.0,17.1,32.0, ,15.1, ,0.0,G,,0,2010,1,Winter,47.0
2010-01-12,31.5,24,15.4,24,1017.7,24,16.7,24,10.0,24,11.6,24,19.0,29.9,35.1, ,23.0, ,0.0,G,,0,2010,1,Winter,55.0
2010-01-13,28.5,24,13.8,24,1020.8,24,19.8,24,10.0,24,13.8,24,22.9,31.1,36.0, ,24.1, ,0.0,G,,0,2010,1,Winter,54.0
2010-01-14,35.4,24,19.5,24,1022.8,24,21.8,24,10.0,24,4.6,24,9.9,,42.1, ,24.3, ,0.0,G,,0,2010,1,Winter,55.0
2010-01-15,40.5,24,23.5,24,1020.6,24,19.6,24,10.0,24,8.3,24,18.1,25.1,50.0, ,32.0, ,0.0,G,,0,2010,1,Winter,51.0
2010-01-16,42.6,24,27.4,24,1021.6,24,20.6,24,10.0,24,8.9,24,13.0,19.0,50.0, ,36.0, ,0.0,G,,0,2010,1,Winter,54.0
2010-01-17,38.8,24,31.0,24,1018.6,21,16.9,24,7.5,24,7.7,24,15.9,,50.0, ,35.1, ,0.0,G,,11000,2010,1,Winter,87.0
2010-01-18,39.9,24,34.3,24,1005.5,19,3.5,24,7.1,24,15.1,24,26.0,36.9,48.0, ,35.1, ,0.43,G,,10000,2010,1,Winter,74.0
2010-01-19,43.6,24,34.8,24,1012.2,21,11.4,24,9.7,24,4.4,24,15.0,18.1,48.0, ,36.0, ,0.04,G,,0,2010,1,Winter,71.0
2010-01-20,39.3,24,27.4,24,1012.7,24,11.7,24,10.0,24,9.7,24,15.0,18.1,48.0, ,36.0, ,0.0,G,,0,2010,1,Winter,60.0
2010-01-21,36.8,24,21.8,24,1020.7,24,19.7,24,10.0,24,4.9,24,9.9,,42.1, ,32.0, ,0.0,G,,0,2010,1,Winter,56.0
2010-01-22,37.2,24,22.0,24,1015.9,24,14.9,24,10.0,24,6.2,24,11.1,,44.1, ,33.1, ,0.0,G,,0,2010,1,Winter,52.0
2010-01-23,34.9,24,17.7,24,1022.2,24,21.1,24,10.0,24,6.6,24,9.9,,44.1, ,28.9, ,0.0,G,,0,2010,1,Winter,52.0
2010-01-24,35.6,24,28.1,24,1023.2,19,21.4,24,8.0,24,5.5,24,12.0,,39.9, ,29.1, ,0.0,G,,10000,2010,1,Winter,85.0
2010-01-25,50.0,24,48.3,24,1007.3,15,1.5,24,6.3,24,16.6,24,32.1,48.0,55.9, ,33.1, ,0.05,G,,10000,2010,1,Winter,89.0
2010-01-26,43.3,24,28.9,24,1001.1,23,999.5,24,10.0,24,12.7,24,18.1,26.0,55.9, ,39.0, ,1.19,G,,10000,2010,1,Winter,51.0
2010-01-27,35.8,24,18.2,24,1014.6,24,13.6,24,10.0,24,11.2,24,15.9,22.0,46.0, ,32.0, ,0.0,G,,0,2010,1,Winter,49.0
2010-01-28,36.3,24,21.0,24,1017.4,21,16.4,24,8.7,24,10.2,24,27.0,35.9,43.0, ,32.0, ,0.0,G,,101000,2010,1,Winter,55.0
2010-01-29,21.8,24,2.5,24,1022.9,24,21.9,24,10.0,24,19.9,24,27.0,39.0,43.0, ,17.1, ,0.08,G,,0,2010,1,Winter,45.0
2010-01-30,17.8,24,0.9,24,1024.0,24,23.1,24,10.0,24,12.1,24,18.1,28.0,25.0, ,14.0, ,0.0,G,,0,2010,1,Winter,47.0
2010-01-31,21.4,24,1.7,24,1017.8,24,16.8,24,10.0,24,10.1,24,13.0,19.0,30.9, ,15.1, ,0.0,G,,0,2010,1,Winter,38.0
2010-02-01,30.4,24,6.4,24,1022.1,24,21.1,24,10.0,24,12.3,24,15.9,21.0,36.0, ,15.1, ,0.0,G,,0,2010,2,Winter,38.0
2010-02-02,32.0,24,12.0,24,1024.0,24,23.0,24,10.0,24,7.3,24,11.1,18.1,36.0, ,27.1, ,0.0,G,,0,2010,2,Winter,53.0
2010-02-03,32.0,24,25.0,24,1018.0,15,17.0,24,6.1,24,7.3,24,18.1,22.0,37.9, ,28.0, ,0.04,G,1.2,1000,2010,2,Winter,72.0
2010-02-04,33.3,24,14.3,24,1023.9,24,22.9,24,10.0,24,13.5,24,19.0,26.0,37.9, ,28.9, ,0.08,G,1.2,0,2010,2,Winter,41.0
2010-02-05,33.8,24,14.2,24,1025.0,24,24.0,24,10.0,24,6.3,24,9.9,,37.9, ,30.2, ,0.0,G,,0,2010,2,Winter,50.0
2010-02-06,30.1,24,15.0,24,1010.6,18,9.3,24,9.3,24,15.2,24,27.0,34.0,37.0, ,25.0, ,0.0,G,,1000,2010,2,Winter,52.0
2010-02-07,24.8,24,8.3,24,1010.1,24,9.1,24,10.0,24,15.4,24,20.0,27.0,35.1, ,18.0, ,0.0,G,,0,2010,2,Winter,51.0
2010-02-08,28.8,24,12.6,24,1013.4,24,12.4,24,10.0,24,13.7,24,22.0,28.9,37.9, ,18.0, ,0.0,G,,0,2010,2,Winter,51.0
2010-02-09,34.1,24,18.1,24,1016.4,24,15.4,24,10.0,24,9.7,24,21.0,28.0,42.1, ,24.1, ,0.0,G,,0,2010,2,Winter,55.0
2010-02-10,33.1,24,28.5,24,1004.9,7,996.7,24,3.0,24,12.6,24,24.1,31.1,42.1, ,30.0, ,0.07,G,9.1,101000,2010,2,Winter,92.0
2010-02-11,32.8,24,22.8,24,998.7,21,996.0,24,8.0,24,18.0,24,25.1,36.9,37.0, ,28.9, ,0.53,G,9.1,101000,2010,2,Winter,58.0
2010-02-12,31.6,24,15.1,24,1008.3,24,7.3,24,10.0,24,13.8,24,21.0,25.1,37.9, ,28.0, ,0.0,G,7.1,0,2010,2,Winter,51.0
2010-02-13,29.9,24,14.3,24,1004.2,24,3.2,24,10.0,24,11.9,24,18.1,25.1,37.9, ,26.1, ,0.0,G,5.9,0,2010,2,Winter,53.0
2010-02-14,32.8,24,17.3,24,1000.4,24,999.4,24,10.0,24,15.1,24,19.0,28.9,41.0, ,26.1, ,0.0,G,5.1,1000,2010,2,Winter,53.0
2010-02-15,34.5,24,17.6,24,1007.2,24,6.2,24,10.0,24,11.8,24,15.9,22.9,41.0, ,29.1, ,0.0,G,3.9,0,2010,2,Winter,56.0
2010-02-16,32.2,24,28.8,24,1001.8,7,998.6,24,2.5,24,8.2,24,17.1,24.1,41.0, ,30.2, ,0.01,G,9.1,101000,2010,2,Winter,87.0
2010-02-17,30.9,24,19.6,24,1000.7,24,999.6,24,9.9,24,12.7,24,20.0,29.9,34.0, ,28.0, ,0.13,G,7.1,0,2010,2,Winter,63.0
2010-02-18,35.1,24,24.1,24,1000.0,24,999.0,24,10.0,24,13.0,24,18.1,28.0,41.0, ,28.2, ,0.0,G,5.1,1000,2010,2,Winter,61.0
2010-02-19,38.6,24,23.0,24,1005.6,24,4.6,24,10.0,24,16.2,24,22.0,32.1,43.0, ,32.0, ,0.0,G,3.1,0,2010,2,Winter,54.0
2010-02-20,39.6,24,26.5,24,1012.7,24,11.6,24,10.0,24,13.8,24,19.0,26.0,45.0, ,36.0, ,0.0,G,1.2,0,2010,2,Winter,59.0
2010-02-21,40.2,24,21.7,24,1013.4,24,12.4,24,10.0,24,12.3,24,22.0,38.1,46.0, ,36.0, ,0.0,G,2.0,0,2010,2,Winter,44.0
2010-02-22,37.0,24,19.8,24,1014.3,24,13.3,24,10.0,24,8.2,24,15.0,21.0,46.0, ,30.0, ,0.0,G,,0,2010,2,Winter,57.0
2010-02-23,37.0,24,32.1,24,1011.2,16,9.7,24,6.8,24,13.4,24,20.0,26.0,42.1,*,35.1,*,0.09,G,,111000,2010,2,Winter,92.0
2010-02-24,36.5,24,35.6,24,1006.9,11,5.7,24,4.7,24,13.6,24,21.0,26.0,39.0,*,35.1,*,1.05,G,,10000,2010,2,Winter,96.0
2010-02-25,34.2,24,33.4,24,1000.3,13,999.0,24,4.7,24,6.3,24,18.1,25.1,39.0, ,30.0, ,0.19,G,2.0,111000,2010,2,Winter,95.0
2010-02-26,30.8,24,26.2,24,983.1,10,983.4,24,2.2,24,14.7,24,28.9,39.0,35.6,*,26.6,*,1.41,G,11.8,101000,2010,2,Winter,82.0
2010-02-27,34.1,24,26.4,24,997.7,21,996.7,24,9.8,24,7.7,24,13.0,,39.2,*,30.0,*,0.08,G,7.9,1000,2010,2,Winter,71.0
2010-02-28,37.3,24,28.4,24,1002.6,24,1.5,24,9.3,24,4.4,24,8.9,20.0,41.0, ,30.2, ,0.0,G,5.1,10000,2010,2,Winter,70.0
2010-03-01,41.2,24,27.6,24,1004.5,24,3.4,24,10.0,24,15.7,24,22.0,28.9,48.0, ,35.1, ,0.0,G,1.2,0,2010,3,Spring,57.0
2010-03-02,41.7,24,29.1,24,1011.5,24,10.5,24,10.0,24,7.4,24,15.0,22.0,48.0, ,37.0, ,0.0,G,1.2,0,2010,3,Spring,65.0
2010-03-03,39.0,24,31.4,24,1004.8,20,3.6,24,9.5,24,12.2,24,20.0,28.0,46.9, ,35.1, ,0.02,G,1.2,11000,2010,3,Spring,72.0
2010-03-04,40.9,24,25.5,24,1003.5,24,2.5,24,10.0,24,12.8,24,18.1,25.1,46.0, ,35.1, ,0.02,G,,10000,2010,3,Spring,53.0
2010-03-05,40.1,24,21.7,24,1012.7,24,11.6,24,9.8,24,11.7,24,18.1,25.1,46.9, ,35.1, ,0.0,G,,11000,2010,3,Spring,43.0
2010-03-06,41.7,24,12.3,24,1019.0,24,18.0,24,10.0,24,10.7,24,15.9,22.9,54.0, ,33.1, ,0.0,G,,0,2010,3,Spring,29.0
2010-03-07,46.3,24,19.4,24,1016.8,24,15.8,24,10.0,24,9.9,24,17.1,21.0,57.0, ,33.1, ,0.0,G,,0,2010,3,Spring,38.0
2010-03-08,50.9,24,26.1,24,1012.2,24,11.1,24,10.0,24,10.5,24,17.1,21.0,59.0, ,39.0, ,0.0,G,,0,2010,3,Spring,38.0
2010-03-09,52.0,24,26.7,24,1012.8,24,11.8,24,10.0,24,10.6,24,15.9,22.0,61.0, ,42.1, ,0.0,G,,0,2010,3,Spring,40.0
2010-03-10,47.5,24,28.7,24,1015.9,24,14.9,24,10.0,24,5.0,24,11.1,18.1,61.0, ,39.9, ,0.0,G,,0,2010,3,Spring,52.0
2010-03-11,44.5,24,34.8,24,1017.8,23,16.7,24,10.0,24,8.7,24,15.9,21.0,54.0, ,39.9, ,0.0,G,,0,2010,3,Spring,76.0
2010-03-12,42.2,24,36.4,24,1019.1,21,18.2,24,9.0,24,13.2,24,20.0,27.0,46.9, ,41.0, ,0.0,G,,10000,2010,3,Spring,80.0
2010-03-13,41.8,24,37.4,24,1012.2,18,10.6,24,5.2,24,25.5,24,34.0,42.0,45.0, ,39.0, ,0.48,G,,10000,2010,3,Spring,88.0
